RevolvingUtilizationOfUnsecuredLines,Age,Late30to59Days,DebtRatio,MonthlyIncome,OpenCreditLinesAndLoans,Late90Days,RealEstateLoans,Late60to89Days,Dependents
0.04458,42,0,0.1796,3200,5,0,0,0,0
0.9917,47,2,0.3583,1470,6,0,0,0,0
0.03213,54,0,0.1045,8500,6,0,1,0,2
0.184,55,1,0.1691,5700,5,0,2,0,2
0.9611,33,0,1.017,950,9,1,0,0,1
1.035,28,1,0.2136,3300,3,0,0,0,0
0.05914,54,0,0.2834,7500,11,0,1,0,3
1,46,0,0,3.146e+04,1,0,0,0,0
0.2238,77,0,0.8299,6500,27,0,3,0,1
0.1257,67,0,2.884,750,8,0,3,0,0
0.148,35,0,0.4257,6800,6,0,1,0,2
0.001387,79,0,0.2198,7184,5,0,1,0,0
0.217,44,0,0.4207,1960,12,0,1,0,1
0.1464,74,0,0.7579,2126,10,0,2,0,1
0.3702,49,0,0.2423,6788,8,0,2,0,1
0.213,46,0,0.04386,5768,9,0,0,0,1
0.2198,67,0,0.2213,5495,6,0,2,0,0
0.01212,36,1,0.9328,4600,10,0,1,0,1
0.04079,50,0,0.01428,4200,5,0,0,0,0
0.007647,48,0,0.3235,2800,4,0,1,0,1
0.4888,46,0,0.5148,7375,12,0,2,0,1
0.275,37,0,0.6479,3416,6,0,1,0,2
0.04515,69,0,0.01759,2500,4,0,0,0,0
0,81,0,0.004678,3633,8,0,0,0,1
0.1619,41,0,0.3969,8100,9,0,2,0,4
0.3225,30,0,0.2424,6064,6,0,1,0,2
0.4163,49,0,0.5354,4209,8,0,0,2,3
0.9609,68,0,0.1477,1.24e+04,7,0,0,0,0
0,59,0,0.1141,7500,5,0,2,0,0
0.02174,43,0,0.1148,2900,8,0,0,0,1
1,32,0,837,0,3,0,0,0,0
0.05237,42,0,0.1843,1.2e+04,13,0,1,0,1
0,30,0,0.3886,1960,5,0,0,0,1
0.1939,57,0,0.4827,7759,13,0,4,0,0
0.8095,56,0,0.4044,1.755e+04,7,0,2,0,1
0.1085,50,0,0.2842,2772,8,0,1,0,3
0.04909,55,0,0.3245,3346,2,0,1,0,0
0.2332,47,0,0.5717,5647,17,0,2,1,3
0,50,0,0.5245,7000,9,0,3,0,2
0.09286,47,0,0.3555,5000,7,0,1,0,3
0,67,0,0.1996,6441,6,0,2,0,1
0.1463,48,0,0.308,7500,8,0,1,0,2
0.2175,49,0,1.398,700,4,0,1,0,2
1,59,0,0.6424,4800,7,0,2,0,3
0.5867,28,0,0.2723,2500,13,0,0,1,0
0.1975,48,0,0.146,4500,5,0,0,0,2
0.5035,22,0,0.08994,1500,2,0,0,0,0
1.008,39,2,0.5498,7800,20,0,2,1,1
0.5251,35,0,0.5354,1.05e+04,14,0,2,0,1
0,32,0,0.1481,6000,11,0,0,0,0
1,67,0,0.2982,1.028e+04,6,0,1,0,0
0.07712,73,0,0.07719,1450,11,0,0,0,0
0.00345,66,0,0.007984,500,3,0,0,0,0
0.02764,61,1,0.37,1.012e+04,14,0,2,0,0
0.0517,75,0,0.02166,3600,10,0,0,0,0
0.6309,29,0,0.4462,4132,8,0,0,0,2
0.01073,40,0,0.1597,3500,5,0,0,0,3
0.1136,47,0,0.364,4850,9,0,2,0,3
0.327,37,0,0.4025,5000,9,0,1,0,0
0.1581,61,0,0.01688,9772,3,0,0,0,0
1,45,0,0.238,7666,3,0,1,0,3
0.2543,53,3,0.5819,3300,6,0,1,1,0
0.2083,63,0,0.1788,3400,10,0,1,0,0
0.7885,54,3,0.4189,3050,3,1,0,0,0
0.3452,33,1,0.03666,5700,3,0,0,0,2
0.4689,56,0,0.13,6e+04,22,0,2,0,3
0.1115,50,1,0.3579,5333,7,0,2,0,0
0.008988,75,0,0.09934,150,5,0,0,0,0
0.05876,26,0,0.3197,1666,4,0,0,0,0
0.7771,43,0,0.4383,9250,3,0,1,0,0
0.05696,64,0,0.1668,8886,9,0,1,0,0
0.05602,53,0,0.4118,1.195e+04,13,0,1,0,2
0.2168,55,0,0.7046,4000,4,0,2,0,0
0.9978,41,0,0.1921,3585,2,0,0,0,3
0.03578,91,0,0.003799,5000,2,0,0,0,0
0.003245,68,0,0.05498,6001,13,0,0,0,1
0.004244,68,0,0.0005663,7062,2,0,0,0,0
0.2443,59,0,0.3554,9374,10,0,2,0,0
1,41,0,0.07636,6324,2,1,0,0,1
0.6259,65,0,0.7567,5400,19,0,1,0,0
0.286,72,1,0.487,4767,9,0,1,0,0
0.7832,41,5,0.3452,5500,14,1,2,0,2
0.7812,48,1,0.1896,6950,10,0,0,0,2
0.2366,28,0,0.01549,2000,2,0,0,0,0
0.8676,46,0,0.2184,1.283e+04,12,0,2,0,0
0.2051,36,0,0.1022,4480,11,0,0,0,0
0.07769,36,0,0.1629,6200,7,0,2,0,3
0,72,0,0.1694,1.05e+04,8,0,1,0,0
0.7283,30,0,0.6947,3900,4,0,1,0,1
0.006112,72,0,0.4996,2317,8,0,1,0,0
0.8193,60,0,0.5879,9800,10,0,2,0,0
0.36,42,1,0.5337,2800,5,0,2,1,0
0.3345,36,0,0.4711,2542,5,0,1,0,1
0.04044,63,0,0.2007,3745,7,0,0,0,0
0.1879,49,0,0.2796,3000,12,0,0,0,1
1,32,0,0.08819,2879,4,0,0,0,0
0.04398,82,0,0.00857,5250,8,0,0,0,1
1,49,1,0.3749,1.667e+04,13,0,2,0,1
0.7285,30,0,0.5132,9000,10,0,2,0,0
1.02,53,2,0.6817,5000,9,8,2,4,4
0.05871,64,0,0.4626,5416,8,0,1,0,0
0.03388,66,0,0.02891,3700,16,0,0,0,0
0,31,1,0.1485,4000,9,0,0,1,1
0.9417,41,0,0.2813,1.2e+04,7,0,1,0,1
0.6147,39,0,0.2443,5005,4,0,0,0,3
0.3778,59,0,0.308,6120,14,0,2,0,2
0.7732,49,1,0.3907,5916,5,0,1,0,3
0.03983,59,0,0.2282,7500,5,0,1,0,1
0.1037,63,0,0.3085,5000,5,0,1,0,0
1,56,0,0.6365,5036,6,0,3,0,1
0.1782,46,0,0.2949,9333,7,0,2,0,2
0.7171,37,2,0.3011,5300,7,0,0,0,2
0.05628,69,0,0.004833,1.2e+04,6,0,0,0,1
0.0009199,79,0,0.0007918,2525,8,0,0,0,0
0.02922,35,0,0.3812,3066,8,0,2,0,4
0.8192,57,3,0.4384,9200,13,0,1,0,3
0.1124,34,0,0.4656,5057,5,0,1,0,0
0.8599,29,0,0.5042,2750,9,0,0,0,0
0.05618,56,0,0.1872,1.358e+04,21,0,3,0,0
0.01177,72,0,0.2043,3950,11,0,0,0,1
0.5303,85,0,0.8473,2128,10,0,0,0,0
1,28,98,0,2171,0,98,0,98,0
0,63,0,0.2794,9500,10,0,2,0,0
0.0175,61,0,0.0008198,6098,1,0,0,0,0
0.9543,71,0,0.02449,4083,1,0,0,0,0
0.9687,44,0,0.0513,1500,3,0,0,0,0
0.4784,69,0,0.1101,2506,3,0,0,0,0
0.008198,54,0,0.1231,8479,7,0,1,0,0
0.07303,46,0,0.1877,1.92e+04,7,0,1,0,2
0.09135,35,0,0.8375,4000,9,0,2,0,0
1,60,5,0.9524,4200,6,1,2,2,0
0.6468,54,2,0.9473,2012,10,0,1,0,5
0.005649,83,0,0.0012,2500,4,0,0,0,0
0.08003,70,0,0.1059,9000,4,0,1,0,0
0,36,0,0.3403,6250,5,0,1,0,0
0.2964,38,0,0.5744,4200,11,1,1,0,1
0.0473,53,0,0.1982,6800,23,0,1,0,1
0.01297,62,0,0.2009,3877,7,0,1,0,1
0.242,77,0,0.07452,3354,4,0,0,0,0
0.1106,42,0,0.2957,8750,5,0,2,0,3
0.009142,56,0,0.4052,4175,8,0,1,0,0
0.3877,49,0,0.0536,1.25e+04,3,0,0,0,0
0.2777,44,0,0.06987,2833,9,0,0,0,0
0,74,0,0.4023,511,7,0,0,0,0
0.08209,55,1,0.2326,1.183e+04,7,0,2,0,1
0.7181,42,0,0.3491,1.05e+04,10,0,1,0,4
0.1074,66,0,0.613,3658,7,0,2,0,0
0.01453,30,0,0.4783,3183,6,0,1,0,0
0.4635,58,0,0.4837,6617,18,0,2,0,0
0.9483,38,2,0.3912,3000,6,0,0,0,0
0.2674,71,0,0.3647,1e+04,11,0,5,0,0
0.7811,47,0,0.4511,1.494e+04,15,0,3,0,0
0.1103,64,0,0.1862,8367,10,0,1,0,0
0.4261,43,2,0.3671,9166,6,0,1,0,3
0.002,55,0,0.8609,1.003e+04,9,0,3,0,2
0.3675,41,0,0.4964,5460,7,0,1,0,0
0.207,43,2,0.5997,5000,7,0,2,0,0
0.005551,59,0,0.1361,2.82e+04,5,0,2,0,1
0.009128,33,0,0.1626,8977,8,0,1,0,2
0.2722,52,0,0.1959,8000,8,0,0,0,2
0.0353,82,0,0.0126,5000,5,0,0,0,0
0.9374,36,0,0.4159,7600,7,0,1,0,0
0.6848,60,0,0.09385,4.201e+04,17,0,1,0,0
0.9415,60,5,0.3481,4750,14,1,0,1,0
0.1131,33,0,0.05781,4912,5,0,0,0,2
0,55,0,0.8263,1519,5,0,1,0,0
0.07271,58,0,0.4098,6000,7,0,1,0,0
0.236,46,0,0.276,3350,8,0,0,0,2
0.3606,30,1,0.7637,1700,11,0,1,3,0
0.1234,46,0,0.3354,1.11e+04,4,0,2,0,0
0.02049,41,0,0.2369,9954,9,0,3,0,2
0,71,0,0.02733,1.05e+04,17,0,0,0,0
0.9393,51,0,0.16,7968,12,0,0,0,2
0.3275,33,0,0.6704,4110,6,0,1,0,3
0.04061,61,0,0.3966,1000,11,0,1,0,0
0,47,0,0.4573,2.192e+04,14,0,5,0,3
0.6196,44,0,0.4578,1.006e+04,11,0,3,0,2
1,29,0,0.2198,2720,3,0,0,1,2
0.03741,60,0,0.05174,2125,10,0,0,0,0
0.7617,44,2,0.3886,2500,4,0,0,0,1
0.2142,46,0,0.3824,2912,17,0,1,0,0
0.9841,45,0,0.3535,9268,7,0,1,0,2
0.07799,41,0,0.3473,6000,4,0,2,0,0
1.121,59,0,0.8858,1916,5,0,1,0,2
0.3113,28,0,0.3543,1080,4,0,0,0,0
0.4884,63,1,0.5495,9000,18,0,2,0,0
0.06754,39,0,0.198,5000,5,0,1,0,0
0.01708,29,0,0.1875,7600,7,0,1,0,0
0.01406,57,0,0.313,4750,16,0,1,0,1
1,50,98,0,1350,0,98,0,98,0
0.0383,58,0,0.09312,3500,7,0,0,0,0
0,85,0,0,3450,1,0,0,0,0
0.6464,43,1,0.9436,5021,17,0,1,0,0
0.4892,36,0,0.1717,4006,4,0,0,0,0
1,38,0,0.146,4046,1,0,0,0,2
1,49,1,0.1014,4064,3,0,0,1,0
0.2095,54,0,0.1935,1.46e+04,9,0,2,0,3
1,21,0,0.1095,1479,1,0,0,0,0
0.0698,69,0,0.116,4740,2,0,0,0,1
0.2526,58,0,0.3594,7083,13,0,1,0,1
0.7802,29,3,0.3692,3233,12,1,0,0,2
0.9685,56,0,0.4091,3800,5,0,1,0,0
0.9035,39,0,0.09306,5200,10,5,0,0,0
1,46,1,0.3888,6300,5,0,2,0,0
0.04397,37,0,0.02353,4333,4,0,0,0,0
0.05961,46,0,0.192,5083,7,0,1,0,0
0.1134,47,0,0.2801,7615,7,0,2,0,2
0.1114,48,0,0.3242,8666,6,0,1,0,1
0.8987,40,3,0.3516,8333,13,0,1,0,2
0.1951,47,0,0.1824,4500,3,0,0,0,1
0.4562,25,0,0.1551,3500,10,0,0,0,1
0.1069,59,0,0.9764,2200,13,0,2,0,0
0.295,33,0,0.4596,4000,6,0,0,0,1
0.4577,26,1,0.02865,1500,3,0,0,0,0
0.6888,39,1,1.189,8158,6,0,1,0,2
0.02679,67,0,0.1139,6600,8,0,1,0,0
0.1793,51,1,0.4015,9901,17,0,2,0,2
0.05525,71,0,0.1008,5566,5,0,1,0,0
0.6903,32,1,0.2506,3474,7,0,0,0,3
0.0147,67,0,0.6403,1667,8,0,1,0,0
0.02957,50,0,0.06189,5800,6,0,0,0,2
0.007993,68,0,0.1546,1e+04,8,0,1,0,0
0,39,0,0.3468,5100,11,0,1,0,1
0.19,26,0,0.9976,2500,6,0,2,0,0
0.3693,72,0,0.1093,6666,16,0,0,0,0
0.1779,40,1,0.1465,2975,4,0,0,0,0
1.008,43,0,0.2351,3699,6,0,1,0,0
0.5847,35,0,0.02364,1.083e+04,4,0,0,0,0
0.1362,66,0,0.01714,3091,4,0,0,0,0
0.1605,33,0,0.1076,2833,8,0,0,0,0
0.09839,45,0,0.6448,2600,11,0,2,0,0
0.9767,32,3,0.9321,2900,12,3,1,0,0
0.3635,54,0,0.355,3900,6,0,1,0,0
0.04795,42,0,0.005599,5000,5,0,0,0,0
0.3124,62,0,0.6995,5500,10,0,1,0,0
1,36,0,0.4785,4041,3,0,1,0,2
0.5587,42,1,0.5566,1.083e+04,6,0,2,0,1
0.5629,47,0,0.2312,6375,8,0,0,0,0
0.9615,76,0,0.2873,6800,6,0,1,0,0
0.4117,72,1,0.2312,1.15e+04,14,0,1,0,0
0.3004,45,2,0.182,1.25e+04,6,0,2,0,0
0.9472,73,2,0.3267,3749,6,0,1,0,1
0.09671,54,0,0.5386,1.75e+04,8,0,4,0,1
0.01208,61,0,0.2299,1.15e+04,12,0,1,0,1
0.04967,44,0,0.2191,7472,10,0,1,0,3
0.002783,87,2,0.002429,2881,15,0,0,0,0
0.09744,57,0,0.2962,6150,9,0,2,0,2
0.1678,45,0,0.3206,6200,15,0,1,1,3
0,42,0,0.006532,7500,5,1,0,0,0
0.02954,67,0,0.3435,6250,7,0,1,0,0
0.002399,63,1,0.2569,1.09e+04,19,0,2,0,3
0.5639,63,1,0.5457,1.305e+04,16,0,3,0,1
0,51,0,0.7233,1940,7,0,0,0,0
0.8491,49,0,0.452,7244,9,0,1,0,1
0.4291,49,2,0.5199,7408,12,0,1,1,2
0.02592,59,0,0.07141,1.55e+04,13,0,1,0,1
0.04149,69,0,0.4728,6416,5,0,2,0,1
0.02616,63,0,0.11,2800,4,0,0,0,1
0,67,0,0.3216,1731,4,0,1,0,0
0,51,0,0.05153,7276,6,0,0,0,1
0.01259,68,0,0.3912,4000,20,0,2,0,1
0.009512,79,0,0.2748,3300,17,0,1,0,0
0,66,0,0.1707,7000,5,0,2,0,2
0.7913,50,0,0.2863,3.6e+04,16,0,2,0,1
0.1792,69,0,0.7521,2500,10,0,1,0,2
0.06556,57,0,0.1785,1.025e+04,8,0,1,0,0
0.0657,63,0,0.4049,3000,11,0,2,0,0
0.05265,22,0,0.004872,820,3,0,0,0,0
0.03782,49,0,0.4515,1.2e+04,5,0,3,0,3
0.06206,59,0,0.2492,4157,7,0,1,0,0
0.06285,53,0,0.6637,4085,11,0,2,0,0
0.01005,73,0,0.01083,3600,11,0,0,0,0
0.2475,24,1,0.136,4000,4,0,0,1,0
0.2142,23,0,139.5,1,5,0,0,0,0
0,44,0,1.508,2500,4,0,1,0,0
0.3012,52,0,0.5577,1.125e+04,13,0,3,0,1
0.3854,36,0,0.4423,6095,8,0,1,0,1
0.01713,67,0,0.004666,6000,8,0,0,0,1
0.09736,55,0,0.1821,2e+04,9,0,1,0,2
0.5398,50,2,0.5438,4800,11,0,3,0,0
0.03444,63,0,0.2524,6250,11,0,1,0,1
0.01505,63,0,0.003846,6500,6,0,0,0,0
0.2571,56,0,0.3719,1.232e+04,17,0,2,0,0
0.2278,39,0,1.304,1000,5,0,1,0,0
0.05934,40,0,0.01631,3126,4,0,0,0,0
0.178,71,0,0.05485,1.05e+04,12,0,0,0,0
0.2419,54,0,0.5162,2899,15,0,1,0,0
0.03403,75,0,0.2168,1.942e+04,15,0,1,0,2
0.03713,53,0,0.2166,8500,16,0,2,0,2
0.0569,58,1,0.2167,4600,12,0,1,0,0
0.8665,53,0,0.8448,2590,12,1,1,0,0
1,23,0,0.08404,820,1,1,0,2,0
0.6095,28,1,0.2078,1890,5,0,0,0,0
0.2047,47,0,0.3254,7080,8,0,1,0,4
1.003,58,0,0.4137,4700,8,0,2,0,1
0.03046,57,0,0.3196,1.042e+04,9,0,2,0,0
0.05607,46,0,0.1585,1.2e+04,6,0,2,0,1
0.1065,57,0,0.3011,1.8e+04,21,0,2,0,1
0.09939,85,0,0.004999,5800,2,0,0,0,0
0.05593,66,0,16,1,9,0,0,0,0
0.06166,46,0,0.2248,1.104e+04,12,0,3,0,0
0.0126,82,0,0.05778,9500,8,0,1,0,0
0.2094,47,0,0.5799,6100,9,0,1,0,2
0.2331,25,0,0.1532,2493,8,0,0,0,0
0.02268,52,0,0.00178,1.292e+04,2,0,0,0,1
0.1064,40,0,0.5106,3867,7,0,1,0,3
0.2998,55,1,0.2133,3407,8,0,0,0,0
0.5078,64,0,0.5141,3.6e+04,22,0,6,0,0
0.01882,67,0,0.3545,3000,13,0,1,0,2
1,63,0,0.4655,3750,3,0,2,0,0
0.7493,66,0,0.4325,3800,7,0,2,0,0
0.06846,47,1,0.4328,6000,8,0,1,0,3
0.5398,31,1,0.5889,3166,7,0,2,0,1
0.0007895,54,0,5013,0,18,0,5,0,1
0.3318,58,0,0.3602,4200,4,0,1,0,0
0.8143,59,0,0.1806,2850,3,0,0,0,0
0.006889,45,0,0.4256,4200,5,0,1,0,1
0.9274,28,0,0.1114,5000,8,0,0,0,0
1,34,1,0.5437,2519,2,0,1,1,1
0.957,34,0,0.6455,8000,11,0,1,0,2
1.026,29,1,0.1649,2000,5,0,0,1,0
0.676,41,1,0.3203,5710,7,2,1,2,0
0.1771,60,0,1960,0,6,0,1,0,2
0.9932,40,0,856,0,3,0,0,0,5
0.2102,50,0,1.563,2000,17,0,1,0,0
0.1211,70,0,0.5693,3500,12,0,1,0,0
0.1074,60,0,0.404,7100,7,0,2,0,0
0.0245,71,0,0.1508,9166,5,0,1,0,0
0.01391,55,0,0.2593,5833,6,0,1,0,0
0.443,50,0,0.1672,8498,11,0,0,0,1
0.009793,87,0,0.3102,5105,11,0,1,0,0
0.4006,32,0,0.3056,6250,3,0,1,0,3
0.9302,43,1,0.6225,4916,7,0,1,0,0
0.003199,43,0,0.3707,8900,9,0,1,0,2
0.203,43,0,0.5046,7000,9,0,2,0,1
0.492,30,0,0.3312,4000,7,0,0,0,0
0.9765,29,0,0.4757,1710,7,0,0,0,2
0.2966,58,0,1.036,2665,18,0,2,0,0
0.0509,48,1,0.5394,6666,20,0,1,0,2
1,60,0,0.1684,1.379e+04,5,0,2,0,2
0.4792,59,0,0.5471,7000,11,0,1,0,0
0.03984,74,0,0.1675,5666,3,0,0,0,0
0.07419,54,0,0.07328,4.15e+04,13,0,0,0,1
0.3032,72,0,0.2568,1.583e+04,15,0,3,0,2
0.08577,56,0,0.01824,8333,4,0,0,0,0
0.8365,65,1,0.4799,2812,14,0,0,1,2
0.1747,56,0,0.4614,1.042e+04,16,0,4,0,0
0.07769,77,0,0.1221,3333,4,0,0,0,0
0.7122,64,0,0.7922,3391,7,0,0,0,0
0.003797,30,0,0.2609,1950,9,0,1,0,0
0.08611,56,0,0.2391,1.4e+04,5,1,1,0,0
0.01587,65,0,0.2627,4000,11,0,0,0,0
0.7086,40,2,0.1673,1.35e+04,13,0,0,1,0
0,65,0,0,2971,2,0,0,0,0
0.223,30,0,0.3586,3225,6,0,0,0,0
0.2434,57,0,0.2494,7083,7,0,1,0,1
0.01065,64,0,0.05069,5700,5,0,0,0,1
1,25,98,0,640,0,98,0,98,0
0.8965,38,1,0.5002,9700,3,0,1,0,3
0.157,88,0,0.009669,7342,9,0,0,0,0
0.8167,49,0,0.3691,5667,4,0,2,0,1
0.2813,33,0,0.02593,3316,4,0,0,2,0
0,72,0,0.3831,4797,7,0,2,0,0
0.0695,62,0,3286,0,5,0,1,0,0
0.001692,48,0,0.5882,5943,6,0,1,0,1
0.7939,35,0,0.2394,7460,7,0,1,0,1
0.002018,68,0,0.07999,1.05e+04,10,0,1,0,0
0.04569,46,0,0.0175,6000,8,0,0,0,3
0,42,0,0.1922,7500,12,0,2,0,1
1,44,1,0.4103,5000,10,0,2,0,0
0.1284,49,0,0.1956,1.008e+04,6,0,1,0,1
0.03359,41,1,0.08536,8000,14,1,0,1,0
0.02275,71,0,0.01266,1500,2,0,0,0,0
0.1039,25,0,0.7753,720,6,0,0,0,0
0.09249,70,0,0.449,4725,10,0,1,0,0
1,38,0,0.8575,3500,10,0,2,0,0
0.1176,72,0,0.6405,4355,18,0,1,0,1
0.2381,44,0,0.1247,5652,7,0,0,0,0
0.001111,39,0,0.001999,3500,4,0,0,1,1
2.111,48,5,0.1583,6999,5,0,0,1,3
0.03919,62,0,0.2345,7266,11,0,2,0,0
0.6628,41,0,1.165,3808,12,0,2,0,2
0.004589,61,0,0.3117,6800,9,0,1,0,1
0.0019,50,0,0.0002799,3572,10,0,0,0,0
1,27,0,0,2400,0,0,0,0,1
0.2046,73,0,0.0533,4333,7,0,0,0,0
0.8968,57,0,0.01221,5.044e+04,5,0,0,0,1
0.8236,23,0,0.1693,1600,4,0,0,0,0
0.01014,59,0,0.002105,4750,6,0,0,0,0
0.3397,66,0,0.4409,1.383e+04,9,0,2,0,0
0.4807,45,0,0.4449,6088,13,0,2,0,1
0.05415,54,0,0.7508,5104,2,0,1,0,1
1,28,0,0.07603,3800,1,0,0,0,0
0.5386,37,0,0.379,9600,9,0,2,0,0
0.01238,54,0,0.5367,3800,13,0,1,0,1
0.06993,46,0,0.01826,1.013e+04,9,0,0,0,3
0.002311,74,0,0.3127,2250,9,0,1,0,0
0.2808,35,0,0.5516,7117,17,0,1,0,1
0.03527,72,0,0.4515,3000,9,0,0,0,0
0.07167,35,0,0.1884,9418,10,0,1,0,0
0.1006,56,1,0.2514,1.05e+04,14,0,1,0,0
0.9311,46,0,0.4379,9064,9,0,2,0,0
0.1241,54,0,0.1318,7000,9,0,0,0,1
0.2838,40,0,0.1835,4000,5,0,0,0,0
0.009359,28,0,0.012,2500,4,0,0,0,0
0.03254,61,0,0.3158,4372,9,0,2,0,0
0.0357,50,1,0.2836,9523,9,0,1,0,0
0,50,0,0.1346,8500,4,0,1,0,0
0.7674,24,0,0.06376,5833,2,0,0,0,0
0.01179,80,0,0.2779,4166,18,0,0,0,1
0.1389,42,0,0.3916,5333,7,0,1,0,2
0.07807,46,0,0.3717,6252,7,0,1,0,6
0.01116,37,0,0.004443,2700,13,0,0,0,0
0.9091,46,0,0.3033,1.563e+04,7,0,2,0,3
0.9954,60,0,0.2674,1.05e+04,7,0,0,0,1
0.0985,91,0,0.6097,2538,11,0,2,0,0
0.06669,42,0,0.3185,8000,4,0,1,0,2
0.2127,47,0,0.2658,6000,17,0,1,0,3
0.4645,39,1,0.4212,5170,17,0,1,0,2
0.5843,47,0,0.3935,9450,12,0,2,0,3
0.325,47,6,0.3895,1.293e+04,25,0,2,0,2
1,33,0,0.3671,2312,6,0,1,0,3
0.04302,62,0,0.1864,2.2e+04,10,0,1,0,0
0.04275,39,0,0.3717,1.039e+04,25,0,3,0,3
0.02154,44,0,0.006854,3209,4,0,0,0,0
0.9101,58,0,0.619,4500,9,0,1,0,0
0.02886,46,0,0.3082,4583,9,0,1,0,2
0.2028,70,0,0.4762,1.902e+04,18,0,2,0,0
0.03655,57,0,0.4833,7016,15,0,2,0,1
0.1868,55,0,0.4643,9250,14,0,2,0,4
0.2134,45,0,0.3333,6500,10,0,1,0,2
0.7168,37,0,0.3541,9000,8,0,1,0,1
0.005112,45,0,0.3191,1.833e+04,13,1,1,1,2
0.3286,50,0,0.2097,1.608e+04,6,0,1,0,2
0.7359,32,0,0.2829,5750,6,0,0,0,0
1,44,0,0.003792,2636,0,2,0,0,1
0.07201,64,0,0.2031,6300,16,0,2,0,0
0,47,5,0.2714,8500,17,0,1,0,0
0.09086,82,0,0.5645,2.1e+04,22,0,8,0,1
0.4704,53,0,0.4198,8600,12,0,2,0,0
0.3522,56,1,0.4116,7688,13,0,3,0,1
0.06152,57,1,0.2047,1.6e+04,23,0,1,0,1
0.2092,39,0,0.3984,3450,3,0,1,0,1
0.1742,43,0,0.5301,7200,7,0,2,0,2
0.02576,44,0,0.1434,5768,5,0,1,0,0
0.1079,46,0,0.6623,3550,7,0,2,0,2
0.2901,57,1,0.3072,3482,8,0,0,0,1
0.4375,45,0,0.3567,4100,9,1,1,0,3
0.002233,43,0,0.01043,3545,5,0,0,0,0
0.175,52,1,0.458,9497,12,0,2,0,0
0.0601,37,0,0.2734,9583,12,0,2,0,2
0.6154,54,0,0.62,6360,12,0,2,0,3
0.1462,51,0,0.1394,1.375e+04,9,0,1,0,3
0.1141,59,0,0.1536,1.061e+04,7,0,1,0,1
0.007612,52,0,0.5135,5000,7,0,2,0,0
0.979,58,4,0.2726,6767,12,1,1,4,0
0.01478,85,0,0.003199,5000,8,0,0,0,0
0.2919,37,0,0.0827,7000,4,0,0,0,0
0.1172,48,0,0.3249,3400,13,0,1,0,2
0.1424,45,0,0.3592,1.041e+04,15,0,2,0,0
0.04443,30,0,1.472,1334,5,0,2,0,0
0.1417,53,0,0.2405,7250,7,0,1,0,2
0.536,69,0,0.7609,9070,20,0,2,0,1
1,53,0,0.09428,3584,2,0,0,0,0
0.6959,72,0,0.5696,6000,12,0,1,0,0
0.1056,67,0,0.09146,5991,6,0,1,0,0
0.04669,55,0,0.1768,1.129e+04,3,0,1,0,1
0.002875,71,0,0.1832,4700,20,0,1,0,0
0.062,32,0,0.289,5920,12,0,1,0,0
0.6461,73,0,0.5378,5025,17,0,1,0,1
0.3431,36,0,0.1669,8220,12,0,0,0,1
0.2078,44,0,0.3655,9660,6,0,2,0,2
0.2671,61,0,0.3476,1.242e+04,9,0,1,0,1
0.1476,42,0,0.9373,2200,10,0,1,0,1
0.02392,46,0,0.01558,7511,8,0,0,0,0
0.8527,40,1,0.5045,4423,6,0,1,0,1
0.05453,49,0,0.3436,1.271e+04,12,0,1,0,2
0.3087,58,2,0.1029,1.208e+04,11,0,0,1,1
0.3341,32,0,0.1545,3500,8,0,0,0,0
0.013,56,0,0.7017,6000,7,0,3,0,1
0.05922,79,0,0.009633,5501,4,0,0,0,1
0.4241,52,0,0.6679,4600,12,0,1,0,0
0.4153,46,1,0.5319,7653,15,0,2,0,3
0.2495,46,1,0.37,4840,10,0,1,0,2
0.1448,48,0,0.3025,5583,4,0,1,0,2
0.03092,73,0,0.3129,6315,10,0,1,0,1
0,68,0,0.3916,5767,4,0,1,0,0
0,56,1,0,5916,2,0,0,0,0
0.1601,55,0,0.4111,7500,10,0,2,0,1
0.5993,33,0,0.3303,8800,11,0,2,0,0
0.8176,23,0,0.2557,2600,4,0,0,0,0
1,25,0,0.07549,2900,2,0,0,0,0
0.3269,33,0,0.4423,4200,5,0,2,0,2
0.043,37,0,1.135,5000,5,0,4,0,3
0.8112,45,4,0.1589,6930,7,0,0,0,2
0.295,64,0,0.389,5400,9,0,1,0,0
0.01741,68,0,0.1705,8040,17,0,1,0,0
0.0422,46,0,0.2385,7000,3,0,1,0,2
0.1428,53,0,1.384,2300,14,0,2,0,3
0.06072,44,0,0.06399,5500,2,0,0,0,0
1,62,1,0,2750,1,0,0,0,0
0.07796,73,1,0.4743,5000,8,0,1,0,0
0.2045,39,0,0.2073,5200,9,0,0,0,0
0.9237,59,0,0.5064,6514,10,0,3,0,1
0.4049,74,0,0.6155,3250,14,0,1,0,0
1,37,0,0,3900,0,0,0,0,2
0.2072,74,0,0.6866,4000,23,0,2,0,1
0.582,39,0,0.03471,1.083e+04,9,0,0,0,3
0.00321,49,0,0.00119,4200,7,0,0,0,2
0.4505,43,0,0.5783,1e+04,13,0,2,0,1
0.1477,53,0,0.2821,1.326e+04,13,0,2,0,0
0.004961,59,0,0.132,9833,9,0,1,0,1
0.161,47,0,0.3483,5416,9,0,2,0,0
0.008625,44,0,0.4972,6250,13,1,2,0,0
0.4062,49,0,0.1887,7953,9,0,0,0,1
